JobID,Title,ExperienceLevel,YearsOfExperience,Skills,Responsibilities,Keywords,description,match,clean_desc,exp_years
NET-F-001,.NET Developer,Fresher,0-1,C#; VB.NET basics; .NET Framework; .NET Core fundamentals; ASP.NET; MVC; HTML; CSS; JavaScript basics; SQL Server; Entity Framework basics; LINQ; Visual Studio; Git; Unit Testing basics,Assist in coding and debugging applications; Learn and apply .NET Framework and Core fundamentals; Support team in building ASP.NET MVC web applications; Write basic SQL queries and work with Entity Framework; Collaborate with peers to solve issues; Participate in code reviews for learning; Follow best practices in coding; Work with version control (Git),.NET; C#; ASP.NET MVC; Entity Framework; SQL Server; LINQ; Visual Studio; Unit Testing,.net developer c#; vb.net basics; .net framework; .net core fundamentals; asp.net; mvc; html; css; javascript basics; sql server; entity framework basics; linq; visual studio; git; unit testing basics,0.0,net developer c vb net basics net framework net core fundamentals asp net mvc html css javascript basics sql server entity framework basics linq visual studio git unit testing basics,0
NET-F-002,.NET Developer,Fresher,0-1,C#; .NET Framework basics; ASP.NET; Razor; HTML; CSS; JavaScript basics; SQL Server; Entity Framework basics; NUnit basics,Write simple C# programs under guidance; Support development of ASP.NET MVC applications; Implement Razor views and front-end logic; Assist in database query writing; Participate in unit testing tasks; Learn and apply LINQ for data operations; Work with mentors for code corrections,.NET; C#; ASP.NET MVC; Entity Framework; SQL Server; Razor; Unit Testing,.net developer c#; .net framework basics; asp.net; razor; html; css; javascript basics; sql server; entity framework basics; nunit basics,0.0,net developer c net framework basics asp net razor html css javascript basics sql server entity framework basics nunit basics,0
NET-F-003,.NET Developer,Fresher,0-1,C#; VB.NET basics; .NET Core; ASP.NET MVC; HTML; CSS; JavaScript basics; SQL Server; Git,Contribute to development of small modules; Assist in bug fixing and debugging; Learn and implement MVC patterns; Support database integration tasks; Understand version control basics; Work on minor testing scripts; Follow coding standards,.NET; C#; ASP.NET MVC; SQL Server; Entity Framework; Git,.net developer c#; vb.net basics; .net core; asp.net mvc; html; css; javascript basics; sql server; git,0.0,net developer c vb net basics net core asp net mvc html css javascript basics sql server git,0
NET-F-004,.NET Developer,Fresher,0-1,C#; .NET Framework; ASP.NET basics; SQL Server; HTML; CSS; LINQ; Visual Studio,Support in software design documentation; Assist senior developers in testing; Create small UI components; Debug and test applications; Implement basic LINQ queries; Participate in code maintenance,.NET; C#; SQL Server; Entity Framework; ASP.NET,.net developer c#; .net framework; asp.net basics; sql server; html; css; linq; visual studio,0.0,net developer c net framework asp net basics sql server html css linq visual studio,0
NET-F-005,.NET Developer,Fresher,0-1,C#; ASP.NET; MVC; Entity Framework basics; SQL Server; HTML; CSS; JavaScript basics,Learn to design and build ASP.NET applications; Assist in connecting apps to SQL Server; Work on UI development; Participate in daily standups; Write small unit test cases,.NET; C#; ASP.NET MVC; Entity Framework; SQL Server,.net developer c#; asp.net; mvc; entity framework basics; sql server; html; css; javascript basics,0.0,net developer c asp net mvc entity framework basics sql server html css javascript basics,0
NET-F-006,.NET Developer,Fresher,0-1,C#; .NET Framework; ASP.NET; Razor; SQL Server; Git; NUnit basics,Assist in Razor page development; Learn version control processes; Perform debugging under supervision; Support data access layer coding; Contribute to testing efforts,.NET; C#; ASP.NET; Razor; SQL Server; Unit Testing,.net developer c#; .net framework; asp.net; razor; sql server; git; nunit basics,0.0,net developer c net framework asp net razor sql server git nunit basics,0
NET-F-007,.NET Developer,Fresher,0-1,C#; VB.NET; .NET Core basics; ASP.NET MVC; HTML; CSS; SQL Server; Visual Studio,Support team in MVC project development; Help in resolving minor bugs; Write basic SQL queries; Collaborate with developers for tasks; Participate in project discussions,.NET; C#; ASP.NET MVC; SQL Server,.net developer c#; vb.net; .net core basics; asp.net mvc; html; css; sql server; visual studio,0.0,net developer c vb net net core basics asp net mvc html css sql server visual studio,0
NET-F-008,.NET Developer,Fresher,0-1,C#; .NET Framework basics; ASP.NET MVC; Entity Framework basics; SQL Server; LINQ,Assist in building backend modules; Learn and apply Entity Framework; Help in writing LINQ queries; Support bug fixing; Write basic documentation,.NET; C#; ASP.NET MVC; Entity Framework; LINQ; SQL Server,.net developer c#; .net framework basics; asp.net mvc; entity framework basics; sql server; linq,0.0,net developer c net framework basics asp net mvc entity framework basics sql server linq,0
NET-F-009,.NET Developer,Fresher,0-1,C#; .NET Framework; ASP.NET; HTML; CSS; SQL Server,Write simple ASP.NET pages; Collaborate with design team; Assist in database operations; Perform code reviews with seniors; Learn about MVC patterns,.NET; C#; ASP.NET; SQL Server,.net developer c#; .net framework; asp.net; html; css; sql server,0.0,net developer c net framework asp net html css sql server,0
NET-F-010,.NET Developer,Fresher,0-1,C#; ASP.NET MVC; .NET Core basics; Entity Framework basics; SQL Server; Git,Support new feature development; Assist with application configuration; Help in database schema setup; Perform small unit testing tasks; Follow agile methodology basics,.NET; C#; ASP.NET MVC; Entity Framework; SQL Server; Git,.net developer c#; asp.net mvc; .net core basics; entity framework basics; sql server; git,0.0,net developer c asp net mvc net core basics entity framework basics sql server git,0
